TrialID,BlockCount,SampleOnStimIndices,SampleOnStimLocations,TargetOnStimIndices,TargetOnStimLocations
WMRDemo1,1,"[21]","[[0,0,0]]","[21,10,8,1]","[[2,2,0],[2,0,0],[-3,0,0]]"
WMRDemo2,1,"[22]","[[0,0,0]]","[22,16,19,21]","[[-2,-2,0],[0,1,0],[1,0,0]]"
WMRDemo3,1,"[18]","[[0,0,0]]","[18,11,23,9]","[[2,0,0],[-3,2,0],[-4,-1,0]]"
WMRDemo4,1,"[7]","[[0,0,0]]","[7,3,8,16]","[[-2,1,0],[3,-2,0],[1,-2,0]]"
WMRDemo5,1,"[7]","[[0,0,0]]","[7,19,20,22]","[[3,2,0],[1,0,0],[-4,-2,0]]"
WMRDemo6,1,"[21]","[[0,0,0]]","[21,4,16,20]","[[-1,-1,0],[-2,1,0],[0,2,0]]"
WMRDemo7,1,"[6]","[[0,0,0]]","[6,3,10,11]","[[3,0,0],[4,2,0],[1,0,0]]"
WMRDemo8,1,"[9]","[[0,0,0]]","[9,20,2,5]","[[-1,2,0],[1,-2,0],[-1,1,0]]"
WMRDemo9,1,"[17]","[[0,0,0]]","[17,13,15]","[[4,-2,0],[-1,-1,0],[3,0,0]]"
WMRDemo10,1,"[23]","[[0,0,0]]","[23,21,7,15]","[[-1,0,0],[-4,0,0],[-2,0,0]]"
WMRDemo11,1,"[5]","[[0,0,0]]","[5,14,10]","[[4,1,0],[2,1,0],[2,-1,0]]"
WMRDemo12,1,"[14]","[[0,0,0]]","[14,6,23,1]","[[0,-2,0],[0,2,0],[-3,-2,0]]"
WMRDemo13,1,"[21]","[[0,0,0]]","[21,4,18]","[[4,-1,0],[-3,-2,0],[1,-2,0]]"
WMRDemo14,1,"[16]","[[0,0,0]]","[16,2,8]","[[0,1,0],[3,-1,0],[-4,2,0]]"
WMRDemo15,1,"[13]","[[0,0,0]]","[13,7,15,3]","[[-4,2,0],[0,0,0],[0,1,0]]"
WMRDemo16,1,"[23]","[[0,0,0]]","[23,12,8,4]","[[1,-1,0],[-2,1,0],[4,1,0]]"
WMRDemo17,1,"[19]","[[0,0,0]]","[19,22,12,6]","[[-4,0,0],[4,2,0],[-1,0,0]]"
WMRDemo18,1,"[16]","[[0,0,0]]","[16,0,5,12]","[[1,2,0],[1,-2,0],[3,0,0]]"
WMRDemo19,1,"[5]","[[0,0,0]]","[5,8,22,3]","[[-3,-2,0],[-1,0,0],[-2,-1,0]]"
WMRDemo20,1,"[14]","[[0,0,0]]","[14,23,2]","[[1,-1,0],[-4,1,0],[3,-2,0]]"
WMRDemo21,1,"[17]","[[0,0,0]]","[17,5,2,7]","[[-3,1,0],[2,2,0],[-2,-2,0]]"
WMRDemo22,1,"[12]","[[0,0,0]]","[12,0,17,3]","[[2,2,0],[0,-2,0],[-2,2,0]]"
WMRDemo23,1,"[12]","[[0,0,0]]","[12,8,7,6]","[[-3,-1,0],[-3,1,0],[2,0,0]]"
WMRDemo24,1,"[8]","[[0,0,0]]","[8,2,12,13]","[[2,0,0],[3,0,0],[1,1,0]]"
WMRDemo25,1,"[4]","[[0,0,0]]","[4,17,19,8]","[[-2,2,0],[0,1,0],[-4,0,0]]"
WMRDemo26,1,"[19]","[[0,0,0]]","[19,18,10,3]","[[3,-2,0],[-2,2,0],[0,0,0]]"
WMRDemo27,1,"[5]","[[0,0,0]]","[5,1,17]","[[-2,0,0],[4,-2,0],[4,-1,0]]"
WMRDemo28,1,"[3]","[[0,0,0]]","[3,13,14,23]","[[3,1,0],[1,-1,0],[-1,-2,0]]"
WMRDemo29,1,"[4]","[[0,0,0]]","[4,17,20,21]","[[-1,-2,0],[-1,0,0],[3,-2,0]]"
WMRDemo30,1,"[13]","[[0,0,0]]","[13,15,7,9]","[[3,-1,0],[-4,1,0],[-2,2,0]]"
WMRDemo31,1,"[0]","[[0,0,0]]","[0,2,8,13]","[[-1,1,0],[2,2,0],[2,1,0]]"
WMRDemo32,1,"[15]","[[0,0,0]]","[15,18,21,2]","[[4,2,0],[-1,-2,0],[-3,1,0]]"
WMRDemo33,1,"[23]","[[0,0,0]]","[23,2,5,0]","[[-1,-1,0],[-3,-1,0],[1,0,0]]"
WMRDemo34,1,"[9]","[[0,0,0]]","[9,17,16]","[[4,0,0],[3,1,0],[-4,-1,0]]"
WMRDemo35,1,"[3]","[[0,0,0]]","[3,4,21]","[[0,1,0],[0,2,0],[1,-1,0]]"
WMRDemo36,1,"[23]","[[0,0,0]]","[23,5,9,13]","[[-4,-2,0],[-2,-2,0],[1,-2,0]]"
WMRDemo37,1,"[15]","[[0,0,0]]","[15,18,2,9]","[[0,-1,0],[4,-1,0],[0,-2,0]]"
WMRDemo38,1,"[8]","[[0,0,0]]","[8,14,12,0]","[[-4,1,0],[1,0,0],[4,2,0]]"
WMRDemo39,1,"[4]","[[0,0,0]]","[4,18,1,19]","[[1,2,0],[-2,1,0],[-1,1,0]]"
WMRDemo40,1,"[22]","[[0,0,0]]","[22,9,10,11]","[[-4,-1,0],[-4,2,0],[3,1,0]]"
WMRDemo41,1,"[6]","[[0,0,0]]","[6,2,16,21]","[[1,0,0],[2,-2,0],[-2,0,0]]"
WMRDemo42,1,"[9]","[[0,0,0]]","[9,8,15,0]","[[-3,2,0],[-1,-1,0],[2,-1,0]]"
WMRDemo43,1,"[17]","[[0,0,0]]","[17,4,21,13]","[[2,-2,0],[-3,0,0],[-3,-1,0]]"
WMRDemo44,1,"[1]","[[0,0,0]]","[1,23,16,7]","[[-3,0,0],[3,1,0],[1,-2,0]]"
WMRDemo45,1,"[16]","[[0,0,0]]","[16,11,10,8]","[[2,1,0],[0,2,0],[-4,-2,0]]"
WMRDemo46,1,"[22]","[[0,0,0]]","[22,12,7,10]","[[-2,-2,0],[0,2,0],[-4,-2,0]]"
WMRDemo47,1,"[20]","[[0,0,0]]","[20,12,13,9]","[[2,-1,0],[4,-1,0],[4,1,0]]"
WMRDemo48,1,"[9]","[[0,0,0]]","[9,22,1]","[[-2,1,0],[1,0,0],[-1,1,0]]"
WMRDemo49,2,"[20]","[[0,0,0]]","[20,2,8,19]","[[3,2,0],[-2,2,0],[3,0,0]]"
WMRDemo50,2,"[16]","[[0,0,0]]","[16,13,2,22]","[[-2,-2,0],[-4,-2,0],[-2,-1,0]]"
WMRDemo51,2,"[5]","[[0,0,0]]","[5,16,17,21]","[[3,0,0],[2,-1,0],[3,-1,0]]"
WMRDemo52,2,"[4]","[[0,0,0]]","[4,5,9,1]","[[-1,1,0],[-1,0,0],[-2,-2,0]]"
WMRDemo53,2,"[15]","[[0,0,0]]","[15,22,21,7]","[[4,-2,0],[-3,1,0],[2,-2,0]]"
WMRDemo54,2,"[6]","[[0,0,0]]","[6,22,11,15]","[[-1,-1,0],[3,2,0],[-3,2,0]]"
WMRDemo55,2,"[11]","[[0,0,0]]","[11,20,13,5]","[[4,1,0],[0,-2,0],[1,1,0]]"
