TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,SampleOnStimIndices,SampleOnStimLocations
MNM_TEST1,1,[21],"[[0,0,0]]",[21],"[[0,0,0]]"
MNM_TEST2,1,[20],"[[0,0,0]]",[16],"[[0,0,0]]"
MNM_TEST3,1,[3],"[[0,0,0]]",[11],"[[0,0,0]]"
MNM_TEST4,1,[22],"[[0,0,0]]",[22],"[[0,0,0]]"
MNM_TEST5,1,[19],"[[0,0,0]]",[10],"[[0,0,0]]"
MNM_TEST6,1,[2],"[[0,0,0]]",[7],"[[0,0,0]]"
MNM_TEST7,1,[23],"[[0,0,0]]",[8],"[[0,0,0]]"
MNM_TEST8,1,[8],"[[0,0,0]]",[9],"[[0,0,0]]"
MNM_TEST9,1,[2],"[[0,0,0]]",[2],"[[0,0,0]]"
MNM_TEST10,1,[21],"[[0,0,0]]",[22],"[[0,0,0]]"
MNM_TEST11,1,[12],"[[0,0,0]]",[12],"[[0,0,0]]"
MNM_TEST12,1,[0],"[[0,0,0]]",[17],"[[0,0,0]]"
MNM_TEST13,1,[5],"[[0,0,0]]",[5],"[[0,0,0]]"
MNM_TEST14,1,[14],"[[0,0,0]]",[20],"[[0,0,0]]"
MNM_TEST15,1,[12],"[[0,0,0]]",[1],"[[0,0,0]]"
MNM_TEST16,1,[1],"[[0,0,0]]",[23],"[[0,0,0]]"
MNM_TEST17,1,[15],"[[0,0,0]]",[15],"[[0,0,0]]"
MNM_TEST18,1,[10],"[[0,0,0]]",[10],"[[0,0,0]]"
MNM_TEST19,1,[7],"[[0,0,0]]",[7],"[[0,0,0]]"
MNM_TEST20,1,[19],"[[0,0,0]]",[19],"[[0,0,0]]"
MNM_TEST21,1,[14],"[[0,0,0]]",[14],"[[0,0,0]]"
MNM_TEST22,1,[0],"[[0,0,0]]",[0],"[[0,0,0]]"
MNM_TEST23,1,[23],"[[0,0,0]]",[23],"[[0,0,0]]"
MNM_TEST24,1,[8],"[[0,0,0]]",[8],"[[0,0,0]]"
MNM_TEST25,1,[17],"[[0,0,0]]",[17],"[[0,0,0]]"
MNM_TEST26,1,[16],"[[0,0,0]]",[16],"[[0,0,0]]"
MNM_TEST27,1,[18],"[[0,0,0]]",[18],"[[0,0,0]]"
MNM_TEST28,1,[1],"[[0,0,0]]",[1],"[[0,0,0]]"
MNM_TEST29,1,[7],"[[0,0,0]]",[18],"[[0,0,0]]"
MNM_TEST30,1,[17],"[[0,0,0]]",[0],"[[0,0,0]]"
MNM_TEST31,1,[16],"[[0,0,0]]",[13],"[[0,0,0]]"
MNM_TEST32,1,[3],"[[0,0,0]]",[3],"[[0,0,0]]"
MNM_TEST33,1,[11],"[[0,0,0]]",[11],"[[0,0,0]]"
MNM_TEST34,1,[5],"[[0,0,0]]",[4],"[[0,0,0]]"
MNM_TEST35,1,[22],"[[0,0,0]]",[20],"[[0,0,0]]"
MNM_TEST36,1,[10],"[[0,0,0]]",[22],"[[0,0,0]]"
MNM_TEST37,1,[6],"[[0,0,0]]",[4],"[[0,0,0]]"
MNM_TEST38,1,[20],"[[0,0,0]]",[20],"[[0,0,0]]"
MNM_TEST39,1,[15],"[[0,0,0]]",[21],"[[0,0,0]]"
MNM_TEST40,1,[4],"[[0,0,0]]",[1],"[[0,0,0]]"
MNM_TEST41,1,[11],"[[0,0,0]]",[19],"[[0,0,0]]"
MNM_TEST42,1,[13],"[[0,0,0]]",[1],"[[0,0,0]]"
MNM_TEST43,1,[18],"[[0,0,0]]",[2],"[[0,0,0]]"
MNM_TEST44,1,[6],"[[0,0,0]]",[6],"[[0,0,0]]"
MNM_TEST45,1,[9],"[[0,0,0]]",[9],"[[0,0,0]]"
MNM_TEST46,1,[4],"[[0,0,0]]",[4],"[[0,0,0]]"
MNM_TEST47,1,[13],"[[0,0,0]]",[13],"[[0,0,0]]"
MNM_TEST48,1,[9],"[[0,0,0]]",[12],"[[0,0,0]]"
