TrialID,BlockCount,SampleOnStimIndices,SampleOnStimLocations,TargetOnStimIndices,TargetOnStimLocations
TEST1,1,"[20]","[[0,0,0]]","[20]","[[2,2,0]]"
TEST2,1,"[17]","[[0,0,0]]","[17]","[[-2,-2,0]]"
TEST3,1,"[14]","[[0,0,0]]","[14]","[[2,0,0]]"
TEST4,1,"[10]","[[0,0,0]]","[10]","[[-2,1,0]]"
TEST5,1,"[23]","[[0,0,0]]","[23]","[[3,2,0]]"
TEST6,1,"[4]","[[0,0,0]]","[4]","[[-1,-1,0]]"
TEST7,1,"[11]","[[0,0,0]]","[11]","[[3,0,0]]"
TEST8,1,"[15]","[[0,0,0]]","[15]","[[-1,2,0]]"
TEST9,2,"[21]","[[0,0,0]]","[21]","[[4,-2,0]]"
TEST10,2,"[13]","[[0,0,0]]","[13]","[[-1,0,0]]"
TEST11,2,"[19]","[[0,0,0]]","[19]","[[4,1,0]]"
TEST12,2,"[7]","[[0,0,0]]","[7]","[[0,-2,0]]"
TEST13,2,"[22]","[[0,0,0]]","[22]","[[4,-1,0]]"
TEST14,2,"[9]","[[0,0,0]]","[9]","[[0,1,0]]"
TEST15,2,"[1]","[[0,0,0]]","[1]","[[-4,2,0]]"
TEST16,2,"[12]","[[0,0,0]]","[12]","[[1,-1,0]]"
TEST17,3,"[6]","[[0,0,0]]","[6]","[[-4,0,0]]"
TEST18,3,"[5]","[[0,0,0]]","[5]","[[1,2,0]]"
TEST19,3,"[8]","[[0,0,0]]","[8]","[[-3,-2,0]]"
TEST20,3,"[0]","[[0,0,0]]","[0]","[[1,-1,0]]"
TEST21,3,"[3]","[[0,0,0]]","[3]","[[-3,1,0]]"
TEST22,3,"[16]","[[0,0,0]]","[16]","[[2,2,0]]"
TEST23,3,"[18]","[[0,0,0]]","[18]","[[-3,-1,0]]"
TEST24,3,"[2]","[[0,0,0]]","[2]","[[2,0,0]]"
