TrialID,BlockCount,SampleOnStimIndices,SampleOnStimLocations,TargetOnStimIndices,TargetOnStimLocations
SDMS_1,1,"[6, 23, 15]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[21, 23, 17]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_2,1,"[1, 14, 12]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[0, 13, 23]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_3,1,"[15, 9, 0]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[17, 17, 13]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_4,1,"[4, 15, 17]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[4, 2, 10]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_5,1,"[18, 10, 21]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[16, 7, 12]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_6,1,"[4, 15, 17]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[2, 15, 17]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_7,1,"[15, 9, 0]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[7, 9, 5]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_8,1,"[22, 19, 14]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[22, 6, 14]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_9,1,"[3, 16, 8]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[3, 16, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_10,1,"[10, 7, 2]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[12, 7, 8]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_11,1,"[12, 13, 18]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[12, 13, 18]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_12,1,"[11, 18, 23]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[1, 6, 15]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_13,1,"[9, 5, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[13, 3, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_14,1,"[15, 9, 0]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[6, 9, 23]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_15,1,"[6, 23, 15]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[9, 11, 5]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_16,1,"[9, 5, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[9, 5, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_17,1,"[17, 0, 16]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[18, 2, 8]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_18,1,"[13, 8, 10]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[16, 21, 7]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_19,1,"[14, 3, 13]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[15, 10, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_20,1,"[13, 8, 10]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[13, 8, 10]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_21,1,"[14, 3, 13]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[5, 3, 17]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_22,1,"[23, 21, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[19, 8, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_23,1,"[17, 0, 16]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[17, 15, 20]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_24,1,"[8, 1, 7]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[8, 1, 7]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_25,1,"[5, 6, 4]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[19, 6, 4]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_26,1,"[10, 7, 2]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[15, 21, 5]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_27,1,"[2, 11, 6]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[18, 3, 22]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_28,1,"[23, 21, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[23, 21, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_29,1,"[10, 7, 2]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[10, 7, 2]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_30,1,"[23, 21, 9]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[23, 21, 6]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_31,1,"[11, 18, 23]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[11, 18, 7]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
SDMS_32,1,"[0, 20, 22]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]","[0, 13, 22]","[[-3, .15, 0],[0, .15, 0],[3, .15, 0]]"
