Stimuli/Kyles_Cooler_Stimuli
StimIndex,FileName
0,BOD0_BMC0_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
1,BOD0_BMC0_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
2,BOD0_BMC0_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
3,BOD0_BMC0_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
4,BOD0_BMC1_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
5,BOD0_BMC1_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
6,BOD0_BMC1_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
7,BOD0_BMC1_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
8,BOD3_BMC0_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
9,BOD3_BMC0_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
10,BOD3_BMC0_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
11,BOD3_BMC0_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
12,BOD3_BMC1_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
13,BOD3_BMC1_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
14,BOD3_BMC1_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
15,BOD3_BMC1_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
16,BOD4_BMC0_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
17,BOD4_BMC0_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
18,BOD4_BMC0_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
19,BOD4_BMC0_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
20,BOD4_BMC1_BCC13_BPT1_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
21,BOD4_BMC1_BCC13_BPT1_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
22,BOD4_BMC1_BCC13_BPT4_FRC0_HEA0_HMC10_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
23,BOD4_BMC1_BCC13_BPT4_FRC0_HEA0_HMC13_HCC0_HPT0_ELT0_ERT0_ELL0_ERL0_AP0_AAL0_AAR0_BEK0
