TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,WrongTargetOnStimIndices,WrongTargetOnStimLocations,Rule1StimIndices,Rule2StimIndices
RSM2_P1,0,"[19,20,21]","[[-2,0,0],[0,0,0],[2,0,0]]","[19,20,21]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[20,19,21]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_P2,0,"[6,7,8]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,6,8]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[6,8,6]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_P3,0,"[4,5,6]","[[-2,0,0],[0,0,0],[2,0,0]]","[5,4,4]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[4,5,4]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[3],[1]
RSM2_P4,0,"[11,12,13]","[[-2,0,0],[0,0,0],[2,0,0]]","[11,11,13]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[11,13,11]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[2]
RSM2_P5,0,"[13,14,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[13,14,15]","[[-0.5,-2,0],[0,-2,0],[0.5,-2,0]]","[14,13,15]","[[-0.5,2,0],[0,2,0],[0.5,2,0]]",[2],[2]
RSM2_P6,0,"[8,9,10]","[[-2,0,0],[0,0,0],[2,0,0]]","[8,9,10]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[9,10,8]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[2],[2]
RSM2_P7,0,"[22,23,0]","[[-2,0,0],[0,0,0],[2,0,0]]","[22,22,0]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[22,0,22]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[2]
RSM2_P8,0,"[16,17,18]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,16,16]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]","[16,17,16]","[[1.5,0,0],[2,0,0],[2.5,0,0]]",[1],[1]
RSM2_P9,0,"[6,7,8]","[[-2,0,0],[0,0,0],[2,0,0]]","[6,8,6]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[6,6,8]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[3]
RSM2_P10,0,"[3,4,5]","[[-2,0,0],[0,0,0],[2,0,0]]","[4,3,5]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[4,5,3]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[3],[2]
RSM2_1,1,"[16,6,15]","[[-2,0,0],[0,0,0],[2,0,0]]","[16,15,16]","[[1.5,0,0],[2,0,0],[2.5,0,0]]","[15,16,16]","[[-2.5,0,0],[-2,0,0],[-1.5,0,0]]",[1],[3]
RSM2_2,1,"[21,13,22]","[[-2,0,0],[0,0,0],[2,0,0]]","[21,13,22]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[13,21,22]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[2],[2]
RSM2_3,1,"[14,13,1]","[[-2,0,0],[0,0,0],[2,0,0]]","[14,14,14]","[[-2.5,-2,0],[-2,-2,0],[-1.5,-2,0]]","[8,11,3]","[[1.5,2,0],[2,2,0],[2.5,2,0]]",[1],[1]
RSM2_4,1,"[7,2,20]","[[-2,0,0],[0,0,0],[2,0,0]]","[7,7,7]","[[1.5,-2,0],[2,-2,0],[2.5,-2,0]]","[11,4,19]","[[-2.5,2,0],[-2,2,0],[-1.5,2,0]]",[1],[1]
