Time,TrialID,Event,Details
15:24:17.396,PRACTICE,StartEndBlock,
15:24:17.401,PRACTICE,Idle,
15:24:19.146,PRACTICE,Fixation,
15:24:20.398,PRACTICE,CueOn,
15:24:20.899,PRACTICE,CueOff,
15:24:20.906,PRACTICE,Delay1,
15:24:23.906,PRACTICE,SampleOn,
15:24:24.410,PRACTICE,SampleOff,
15:24:24.413,PRACTICE,Delay2,
15:24:24.914,PRACTICE,Choice,
15:24:25.965,PRACTICE,Clicked,
15:24:25.977,PRACTICE,Success,
15:24:25.978,PRACTICE,AudioPlaying,
15:24:26.967,PRACTICE,Reset,
15:24:26.968,PRACTICE,Idle,
15:24:28.718,PRACTICE,Fixation,
