Frame,UnityTime,StopwatchTime,TrialID,Event,Code
236,9.1677,7.787615,PRACTICE,StartEndBlock,8
236,9.1706,7.790447,PRACTICE,TrialOn,1
462,11.1613,9.781134,PRACTICE,SampleOn,2
518,11.6653,10.285078,PRACTICE,SampleOff,3
577,12.1740,10.793799,PRACTICE,DistractorOn,4
630,12.6821,11.301871,PRACTICE,DistractorOff,5
862,14.6899,13.309669,PRACTICE,TargetOn,6
863,14.6982,13.318045,PRACTICE,Choice,7
1037,16.2329,14.852683,PRACTICE,TrialOn,1
1269,18.2382,16.858018,PRACTICE,SampleOn,2
1327,18.7436,17.363398,PRACTICE,SampleOff,3
1385,19.2458,17.865640,PRACTICE,DistractorOn,4
1443,19.7515,18.371332,PRACTICE,DistractorOff,5
1674,21.7517,20.371513,PRACTICE,TargetOn,6
1675,21.7644,20.384185,PRACTICE,Choice,7
1851,23.3015,21.921316,PRACTICE,TrialOn,1
2081,25.3050,23.924849,PRACTICE,SampleOn,2
2139,25.8135,24.433334,PRACTICE,SampleOff,3
2197,26.3150,24.934771,PRACTICE,DistractorOn,4
2255,26.8182,25.437973,PRACTICE,DistractorOff,5
2487,28.8266,27.446390,PRACTICE,TargetOn,6
2488,28.8348,27.454572,PRACTICE,Choice,7
2665,30.3684,28.988233,PRACTICE,TrialOn,1
2896,32.3756,30.995455,PRACTICE,SampleOn,2
2954,32.8818,31.501641,PRACTICE,SampleOff,3
3012,33.3833,32.003079,PRACTICE,DistractorOn,4
3070,33.8866,32.506415,PRACTICE,DistractorOff,5
3302,35.8939,34.513714,PRACTICE,TargetOn,6
3303,35.9028,34.522663,PRACTICE,Choice,7
3480,37.4341,36.053937,PRACTICE,TrialOn,1
3712,39.4406,38.060458,PRACTICE,SampleOn,2
3770,39.9445,38.564316,PRACTICE,SampleOff,3
3828,40.4503,39.070162,PRACTICE,DistractorOn,4
