Frame,UnityTime,StopwatchTime,TrialID,Event,Details
473,11.9961,11.388685,DMS_P1,StartEndBlock,
473,11.9978,11.390251,DMS_P1,TrialOn,
596,14.0456,13.438099,DMS_P1,SampleOn,
619,14.5579,13.950362,DMS_P1,SampleOff,
651,15.0915,14.483923,DMS_P1,DistractorOn,
682,15.6079,15.000388,DMS_P1,DistractorOff,
803,17.6248,17.017315,DMS_P1,Choice,
804,17.6409,17.033391,DMS_P1,TargetOn,
901,19.2578,18.650258,DMS_P1,Feedback,
901,19.2602,18.652699,DMS_P1,TargetSelected,
901,19.2605,18.652937,DMS_P1,AudioPlaying_correctBeep,
901,19.2606,18.653025,DMS_P1,Success,
962,20.2746,19.667108,DMS_P1,Reset,
963,20.2925,19.685006,DMS_P2,TrialOn,
1086,22.3414,21.733829,DMS_P2,SampleOn,
1117,22.8576,22.250049,DMS_P2,SampleOff,
1149,23.3912,22.783700,DMS_P2,DistractorOn,
1180,23.9077,23.300149,DMS_P2,DistractorOff,
1301,25.9250,25.317499,DMS_P2,Choice,
1302,25.9416,25.334073,DMS_P2,TargetOn,
2309,45.0150,44.407427,DMS_P2,Feedback,
2309,45.0161,44.408554,DMS_P2,AudioPlaying_errorBeep,
2309,45.0162,44.408648,DMS_P2,TargetSelected,
2309,45.0163,44.408728,DMS_P2,Fail,
2370,46.0320,45.424428,DMS_P2,Reset,
2371,46.0486,45.441061,DMS_P3,TrialOn,
2494,48.0984,47.490836,DMS_P3,SampleOn,
2524,48.5988,47.991309,DMS_P3,SampleOff,
2557,49.1488,48.541313,DMS_P3,DistractorOn,
2588,49.6647,49.057192,DMS_P3,DistractorOff,
