Frame,UnityTime,StopwatchTime,TrialID,Event,Details
66,3.0310,2.667827,MNM_P1,StartEndBlock,
66,3.0322,2.668960,MNM_P1,TrialOn,
66,3.0323,2.669048,MNM_P1,Idle,
172,4.7971,4.433866,MNM_P1,Fixation,
249,6.0805,5.717287,MNM_P1,CueOn,
279,6.5808,6.217550,MNM_P1,CueOff,
280,6.5974,6.234158,MNM_P1,Delay1,
462,9.6309,9.267651,MNM_P1,SampleOn,
491,10.1140,9.750786,MNM_P1,SampleOff,
492,10.1305,9.767269,MNM_P1,Delay2,
524,10.6641,10.300859,MNM_P1,Choice,
613,12.1519,11.788625,MNM_P1,Success,
613,12.1523,11.789046,MNM_P1,AudioPlaying_correctBeep,
673,13.1510,12.787779,MNM_P1,Reset,
673,13.1513,12.788053,MNM_P1,InterTrialInterval Delay: MaxChoiceResponseTime (3) - ReactionTime (1.498161): 1.501839s,
764,14.6687,14.305492,MNM_P2,TrialOn,
764,14.6690,14.305705,MNM_P2,Idle,
869,16.4237,16.060396,MNM_P2,Fixation,
945,17.6906,17.327307,MNM_P2,CueOn,
975,18.1906,17.827335,MNM_P2,CueOff,
976,18.2070,17.843783,MNM_P2,Delay1,
