Frame,UnityTime,StopwatchTime,TrialID,Event,Code
312,8.0977,7.676479,MNM_P1,StartEndBlock,8
312,8.0985,7.677249,MNM_P1,Fixation,1
389,9.3797,8.958438,MNM_P1,CueOn,2
601,12.9121,12.490831,MNM_P1,SampleOn,3
663,13.9458,13.524557,MNM_P1,Choice,4
932,18.5357,18.114466,MNM_P2,Fixation,1
1009,19.8176,19.396400,MNM_P2,CueOn,2
1222,23.3678,22.946556,MNM_P2,SampleOn,3
1285,24.4180,23.996810,MNM_P2,Choice,4
1706,31.4348,31.013545,MNM_P3,Fixation,1
1783,32.7177,32.296446,MNM_P3,CueOn,2
1995,36.2508,35.829554,MNM_P3,SampleOn,3
2056,37.2677,36.846483,MNM_P3,Choice,4
2476,44.2678,43.846596,MNM_P4,Fixation,1
2553,45.5513,45.130083,MNM_P4,CueOn,2
