TrialID,BlockCount,CueOnStimIndices,CueOnStimLocations,TargetOnStimIndices,TargetOnStimLocations,Rule
RSM1_1,1,"[20,21]","[[-1,0,0],[1,0,0]]","[20,21]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_2,1,"[2,3]","[[-1,0,0],[1,0,0]]","[2,2]","[[-0.25,2,0],[0.25,2,0]]",RA
RSM1_3,1,"[20,21]","[[-1,0,0],[1,0,0]]","[20,20]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_4,1,"[6,7]","[[-1,0,0],[1,0,0]]","[6,7]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_5,1,"[11,12]","[[-1,0,0],[1,0,0]]","[11,11]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_6,1,"[6,7]","[[-1,0,0],[1,0,0]]","[6,6]","[[-0.25,2,0],[0.25,2,0]]",RA
RSM1_7,1,"[21,22]","[[-1,0,0],[1,0,0]]","[22,21]","[[-2.25,2,0],[-1.75,2,0]]",RC
RSM1_8,1,"[10,11]","[[-1,0,0],[1,0,0]]","[11,10]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_9,1,"[0,1]","[[-1,0,0],[1,0,0]]","[0,0]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_10,1,"[8,9]","[[-1,0,0],[1,0,0]]","[9,8]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_11,1,"[9,10]","[[-1,0,0],[1,0,0]]","[9,10]","[[-2.25,2,0],[-1.75,2,0]]",RB
RSM1_12,1,"[20,21]","[[-1,0,0],[1,0,0]]","[21,20]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_13,1,"[4,5]","[[-1,0,0],[1,0,0]]","[4,4]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_14,1,"[8,9]","[[-1,0,0],[1,0,0]]","[8,8]","[[-0.25,2,0],[0.25,2,0]]",RA
RSM1_15,1,"[2,3]","[[-1,0,0],[1,0,0]]","[3,2]","[[-2.25,2,0],[-1.75,2,0]]",RC
RSM1_16,1,"[1,2]","[[-1,0,0],[1,0,0]]","[1,2]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_17,1,"[12,13]","[[-1,0,0],[1,0,0]]","[13,12]","[[-2.25,0,0],[-1.75,0,0]]",RC
RSM1_18,1,"[22,23]","[[-1,0,0],[1,0,0]]","[22,23]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_19,1,"[21,22]","[[-1,0,0],[1,0,0]]","[21,21]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_20,1,"[5,6]","[[-1,0,0],[1,0,0]]","[5,6]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_21,1,"[7,8]","[[-1,0,0],[1,0,0]]","[7,8]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_22,1,"[4,5]","[[-1,0,0],[1,0,0]]","[5,4]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_23,1,"[3,4]","[[-1,0,0],[1,0,0]]","[4,3]","[[-2.25,2,0],[-1.75,2,0]]",RC
RSM1_24,1,"[18,19]","[[-1,0,0],[1,0,0]]","[18,19]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_25,1,"[13,14]","[[-1,0,0],[1,0,0]]","[13,14]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_26,1,"[11,12]","[[-1,0,0],[1,0,0]]","[11,12]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_27,1,"[17,18]","[[-1,0,0],[1,0,0]]","[18,17]","[[-2.25,2,0],[-1.75,2,0]]",RC
RSM1_28,1,"[15,16]","[[-1,0,0],[1,0,0]]","[15,16]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_29,1,"[15,16]","[[-1,0,0],[1,0,0]]","[16,15]","[[-2.25,0,0],[-1.75,0,0]]",RC
RSM1_30,1,"[9,10]","[[-1,0,0],[1,0,0]]","[10,9]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_31,1,"[14,15]","[[-1,0,0],[1,0,0]]","[14,14]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_32,1,"[14,15]","[[-1,0,0],[1,0,0]]","[15,14]","[[-2.25,-2,0],[-1.75,-2,0]]",RC
RSM1_33,1,"[0,1]","[[-1,0,0],[1,0,0]]","[0,1]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_34,1,"[6,7]","[[-1,0,0],[1,0,0]]","[7,6]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_35,1,"[7,8]","[[-1,0,0],[1,0,0]]","[7,7]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_36,1,"[12,13]","[[-1,0,0],[1,0,0]]","[12,12]","[[-2.25,-2,0],[-1.75,-2,0]]",RA
RSM1_37,2,"[10,11]","[[-1,0,0],[1,0,0]]","[10,10]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_38,2,"[3,4]","[[-1,0,0],[1,0,0]]","[3,4]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_39,2,"[12,13]","[[-1,0,0],[1,0,0]]","[12,13]","[[-2.25,2,0],[-1.75,2,0]]",RB
RSM1_40,2,"[4,5]","[[-1,0,0],[1,0,0]]","[4,5]","[[-2.25,-2,0],[-1.75,-2,0]]",RB
RSM1_41,2,"[17,18]","[[-1,0,0],[1,0,0]]","[17,18]","[[-2.25,0,0],[-1.75,0,0]]",RB
RSM1_42,2,"[5,6]","[[-1,0,0],[1,0,0]]","[6,5]","[[-0.25,2,0],[0.25,2,0]]",RC
RSM1_43,2,"[17,18]","[[-1,0,0],[1,0,0]]","[17,17]","[[-2.25,2,0],[-1.75,2,0]]",RA
RSM1_44,2,"[1,2]","[[-1,0,0],[1,0,0]]","[1,1]","[[-2.25,-2,0],[-1.75,-2,0]]",RA
RSM1_45,2,"[11,12]","[[-1,0,0],[1,0,0]]","[12,11]","[[-2.25,0,0],[-1.75,0,0]]",RC
RSM1_46,2,"[14,15]","[[-1,0,0],[1,0,0]]","[14,15]","[[-0.25,2,0],[0.25,2,0]]",RB
RSM1_47,2,"[23,0]","[[-1,0,0],[1,0,0]]","[0,23]","[[-2.25,2,0],[-1.75,2,0]]",RC
RSM1_48,2,"[5,6]","[[-1,0,0],[1,0,0]]","[5,5]","[[-2.25,-2,0],[-1.75,-2,0]]",RA
RSM1_49,2,"[19,20]","[[-1,0,0],[1,0,0]]","[19,19]","[[-2.25,0,0],[-1.75,0,0]]",RA
RSM1_50,2,"[19,20]","[[-1,0,0],[1,0,0]]","[20,19]","[[-0.25,2,0],[0.25,2,0]]",RC
